Date,Lakelevel
2020-01-01,19.16
2020-01-02,19.16
2020-01-03,19.16
2020-01-04,19.16
2020-01-05,19.18
2020-01-06,19.18
2020-01-07,19.18
2020-01-08,19.18
2020-01-09,19.18
2020-01-10,19.18
2020-01-11,19.19
2020-01-12,19.19
2020-01-13,19.19
2020-01-14,19.19
2020-01-15,19.19
2020-01-16,19.19
2020-01-17,19.19
2020-01-18,19.18
2020-01-19,19.18
2020-01-20,19.18
2020-01-21,19.18
2020-01-22,19.18
2020-01-23,19.18
2020-01-24,19.18
2020-01-25,19.18
2020-01-26,19.18
2020-01-27,19.18
2020-01-28,19.18
2020-01-29,19.2
2020-01-30,19.2
2020-01-31,19.2
2020-02-01,19.21
2020-02-02,19.22
2020-02-03,19.23
2020-02-04,19.23
2020-02-05,19.23
2020-02-06,19.23
2020-02-07,19.23
2020-02-08,19.23
2020-02-09,19.23
2020-02-10,19.26
2020-02-11,19.26
2020-02-12,19.26
2020-02-13,19.26
2020-02-14,19.26
2020-02-15,19.26
2020-02-16,19.26
2020-02-17,19.26
2020-02-18,19.26
2020-02-19,19.26
2020-02-20,19.26
2020-02-21,19.26
2020-02-22,19.26
2020-02-23,19.26
2020-02-24,19.3
2020-02-25,19.3
2020-02-26,19.3
2020-02-27,19.3
2020-02-28,19.3
2020-02-29,19.3
2020-03-01,19.32
2020-03-02,19.32
2020-03-03,19.32
2020-03-04,19.32
2020-03-05,19.32
2020-03-06,19.32
2020-03-07,19.33
2020-03-08,19.33
2020-03-09,19.33
2020-03-10,19.33
2020-03-11,19.34
2020-03-12,19.34
2020-03-13,19.34
2020-03-14,19.34
2020-03-15,19.34
2020-03-16,19.34
2020-03-17,19.34
2020-03-18,19.34
2020-03-19,19.34
2020-03-20,19.34
2020-03-21,19.34
2020-03-22,19.34
2020-03-23,19.34
2020-03-24,19.34
2020-03-25,19.34
2020-03-26,19.34
2020-03-27,19.34
2020-03-28,19.33
2020-03-29,19.33
2020-03-30,19.33
2020-03-31,19.33
2020-04-01,19.33
2020-04-02,19.33
2020-04-03,19.33
2020-04-04,19.32
2020-04-05,19.32
2020-04-06,19.32
2020-04-07,19.32
2020-04-08,19.32
2020-04-09,19.32
2020-04-10,19.32
2020-04-11,19.32
2020-04-12,19.32
2020-04-13,19.32
2020-04-14,19.32
2020-04-15,19.31
2020-04-16,19.31
2020-04-17,19.3
2020-04-18,19.3
2020-04-19,19.3
2020-04-20,19.3
2020-04-21,19.29
2020-04-22,19.29
2020-04-23,19.29
2020-04-24,19.29
2020-04-25,19.29
2020-04-26,19.28
2020-04-27,19.28
2020-04-28,19.28
2020-04-29,19.28
2020-04-30,19.28
2020-05-01,19.28
2020-05-02,19.29
2020-05-03,19.29
2020-05-04,19.29
2020-05-05,19.29
2020-05-06,19.29
2020-05-07,19.29
2020-05-08,19.29
2020-05-09,19.29
2020-05-10,19.28
2020-05-11,19.28
2020-05-12,19.28
2020-05-13,19.28
2020-05-14,19.28
2020-05-15,19.28
2020-05-16,19.28
2020-05-17,19.27
2020-05-18,19.27
2020-05-19,19.27
2020-05-20,19.26
2020-05-21,19.26
2020-05-22,19.26
2020-05-23,19.26
2020-05-24,19.26
2020-05-25,19.26
2020-05-26,19.26
2020-05-27,19.26
2020-05-28,19.26
2020-05-29,19.25
2020-05-30,19.25
2020-05-31,19.24
2020-06-01,19.24
2020-06-02,19.24
2020-06-03,19.23
2020-06-04,19.23
2020-06-05,19.23
2020-06-06,19.23
2020-06-07,19.22
2020-06-08,19.22
2020-06-09,19.22
2020-06-10,19.21
2020-06-11,19.21
2020-06-12,19.2
2020-06-13,19.2
2020-06-14,19.19
2020-06-15,19.19
2020-06-16,19.19
2020-06-17,19.18
2020-06-18,19.18
2020-06-19,19.17
2020-06-20,19.17
2020-06-21,19.17
2020-06-22,19.17
2020-06-23,19.17
2020-06-24,19.16
2020-06-25,19.16
2020-06-26,19.16
2020-06-27,19.16
2020-06-28,19.16
2020-06-29,19.16
2020-06-30,19.16
2020-07-01,19.15
2020-07-02,19.15
2020-07-03,19.15
2020-07-04,19.14
2020-07-05,19.14
2020-07-06,19.13
2020-07-07,19.13
2020-07-08,19.13
