Date,Lakelevel
2023-01-01,18.68
2023-01-02,18.68
2023-01-03,18.68
2023-01-04,18.7
2023-01-05,18.7
2023-01-06,18.7
2023-01-07,18.7
2023-01-08,18.7
2023-01-09,18.7
2023-01-10,18.7
2023-01-11,18.71
2023-01-12,18.71
2023-01-13,18.71
2023-01-14,18.71
2023-01-15,18.72
2023-01-16,18.72
2023-01-17,18.72
2023-01-18,18.73
2023-01-19,18.73
2023-01-20,18.74
2023-01-21,18.74
2023-01-22,18.74
2023-01-23,18.74
2023-01-24,18.74
2023-01-25,18.75
2023-01-26,18.75
2023-01-27,18.75
2023-01-28,18.75
2023-01-29,18.75
2023-01-30,18.75
2023-01-31,18.75
2023-02-01,18.76
2023-02-02,18.76
2023-02-03,18.77
2023-02-04,18.77
2023-02-05,18.77
2023-02-06,18.77
2023-02-07,18.77
2023-02-08,18.77
2023-02-09,18.77
2023-02-10,18.77
2023-02-11,18.77
2023-02-12,18.77
2023-02-13,18.77
2023-02-14,18.77
2023-02-15,18.77
2023-02-16,18.77
2023-02-17,18.78
2023-02-18,18.78
2023-02-19,18.78
2023-02-20,18.78
2023-02-21,18.78
2023-02-22,18.78
2023-02-23,18.79
2023-02-24,18.79
2023-02-25,18.79
2023-02-26,18.8
2023-02-27,18.8
2023-02-28,18.8
2023-03-01,18.8
2023-03-02,18.8
2023-03-03,18.8
2023-03-04,18.8
2023-03-05,18.8
2023-03-06,18.81
2023-03-07,18.81
2023-03-08,18.81
2023-03-09,18.82
2023-03-10,18.82
2023-03-11,18.82
2023-03-12,18.82
2023-03-13,18.82
2023-03-14,18.83
2023-03-15,18.83
2023-03-16,18.83
2023-03-17,18.83
2023-03-18,18.83
2023-03-19,18.83
2023-03-20,18.84
2023-03-21,18.84
2023-03-22,18.84
2023-03-23,18.85
2023-03-24,18.85
2023-03-25,18.86
2023-03-26,18.86
2023-03-27,18.86
2023-03-28,18.86
2023-03-29,18.87
2023-03-30,18.87
2023-03-31,18.87
2023-04-01,18.87
2023-04-02,18.87
2023-04-03,18.87
2023-04-04,18.88
2023-04-05,18.88
2023-04-06,18.88
2023-04-07,18.88
2023-04-08,18.89
2023-04-09,18.89
2023-04-10,18.89
2023-04-11,18.89
2023-04-12,18.9
2023-04-13,18.9
2023-04-14,18.9
2023-04-15,18.91
2023-04-16,18.91
2023-04-17,18.91
2023-04-18,18.92
2023-04-19,18.92
2023-04-20,18.92
2023-04-21,18.93
2023-04-22,18.93
2023-04-23,18.93
2023-04-24,18.93
2023-04-25,18.93
2023-04-26,18.93
2023-04-27,18.93
2023-04-28,18.93
2023-04-29,18.93
2023-04-30,18.93
2023-05-01,18.93
2023-05-02,18.93
2023-05-03,18.93
2023-05-04,18.92
2023-05-05,18.92
2023-05-06,18.92
2023-05-07,18.92
2023-05-08,18.91
2023-05-09,18.91
2023-05-10,18.91
2023-05-11,18.9
2023-05-12,18.9
2023-05-13,18.9
2023-05-14,18.9
2023-05-15,18.9
2023-05-16,18.9
2023-05-17,18.89
2023-05-18,18.89
2023-05-19,18.89
2023-05-20,18.89
2023-05-21,18.88
2023-05-22,18.88
2023-05-23,18.88
2023-05-24,18.88
2023-05-25,18.88
2023-05-26,18.87
2023-05-27,18.87
2023-05-28,18.87
2023-05-29,18.86
2023-05-30,18.86
2023-05-31,18.86
2023-06-01,18.86
2023-06-02,18.85
2023-06-03,18.85
2023-06-04,18.84
2023-06-05,18.84
2023-06-06,18.83
2023-06-07,18.83
2023-06-08,18.82
2023-06-09,18.82
2023-06-10,18.82
2023-06-11,18.81
2023-06-12,18.81
2023-06-13,18.8
2023-06-14,18.8
2023-06-15,18.8
2023-06-16,18.79
2023-06-17,18.79
2023-06-18,18.79
2023-06-19,18.79
2023-06-20,18.79
2023-06-21,18.8
2023-06-22,18.8
2023-06-23,18.8
2023-06-24,18.81
2023-06-25,18.81
2023-06-26,18.81
2023-06-27,18.82
2023-06-28,18.82
2023-06-29,18.82
2023-06-30,18.82
2023-07-01,18.82
2023-07-02,18.82
2023-07-03,18.81
2023-07-04,18.81
2023-07-05,18.8
2023-07-06,18.8
2023-07-07,18.79
2023-07-08,18.79
2023-07-09,18.79
2023-07-10,18.78
2023-07-11,18.77
2023-07-12,18.77
2023-07-13,18.77
2023-07-14,18.76
2023-07-15,18.76
2023-07-16,18.75
2023-07-17,18.75
2023-07-18,18.75
2023-07-19,18.75
2023-07-20,18.74
2023-07-21,18.74
2023-07-22,18.74
2023-07-23,18.74
2023-07-24,18.74
2023-07-25,18.75
2023-07-26,18.75
2023-07-27,18.75
2023-07-28,18.75
2023-07-29,18.76
2023-07-30,18.76
2023-07-31,18.76
2023-08-01,18.76
2023-08-02,18.76
2023-08-03,18.76
2023-08-04,18.76
2023-08-05,18.76
2023-08-06,18.76
2023-08-07,18.76
2023-08-08,18.76
2023-08-09,18.76
2023-08-10,18.76
2023-08-11,18.76
2023-08-12,18.76
2023-08-13,18.76
2023-08-14,18.76
2023-08-15,18.76
2023-08-16,18.76
2023-08-17,18.76
2023-08-18,18.76
2023-08-19,18.76
2023-08-20,18.76
2023-08-21,18.76
2023-08-22,18.75
2023-08-23,18.75
2023-08-24,18.75
2023-08-25,18.75
2023-08-26,18.75
2023-08-27,18.74
2023-08-28,18.74
2023-08-29,18.74
2023-08-30,18.74
2023-08-31,18.73
2023-09-01,18.73
2023-09-02,18.73
2023-09-03,18.72
2023-09-04,18.72
2023-09-05,18.72
2023-09-06,18.71
2023-09-07,18.71
2023-09-08,18.71
2023-09-09,18.71
2023-09-10,18.71
2023-09-11,18.7
2023-09-12,18.7
2023-09-13,18.7
2023-09-14,18.7
2023-09-15,18.7
2023-09-16,18.69
2023-09-17,18.69
2023-09-18,18.69
2023-09-19,18.69
2023-09-20,18.68
2023-09-21,18.68
2023-09-22,18.68
2023-09-23,18.67
2023-09-24,18.67
2023-09-25,18.67
2023-09-26,18.67
2023-09-27,18.66
2023-09-28,18.66
2023-09-29,18.66
2023-09-30,18.66
2023-10-01,18.66
2023-10-02,18.66
2023-10-03,18.66
2023-10-04,18.66
2023-10-05,18.65
2023-10-06,18.65
2023-10-07,18.65
2023-10-08,18.65
2023-10-09,18.66
2023-10-10,18.66
2023-10-11,18.66
2023-10-12,18.66
2023-10-13,18.66
2023-10-14,18.66
2023-10-15,18.65
2023-10-16,18.65
2023-10-17,18.65
2023-10-18,18.65
2023-10-19,18.64
2023-10-20,18.64
2023-10-21,18.64
2023-10-22,18.64
2023-10-23,18.64
2023-10-24,18.65
2023-10-25,18.65
2023-10-26,18.66
2023-10-27,18.66
2023-10-28,18.67
2023-10-29,18.67
2023-10-30,18.67
2023-10-31,18.67
2023-11-01,18.68
2023-11-02,18.68
2023-11-03,18.68
2023-11-04,18.68
2023-11-05,18.68
2023-11-06,18.68
2023-11-07,18.68
2023-11-08,18.68
2023-11-09,18.68
2023-11-10,18.68
2023-11-11,18.68
2023-11-12,18.68
2023-11-13,18.68
2023-11-14,18.68
2023-11-15,18.68
2023-11-16,18.68
2023-11-17,18.68
2023-11-18,18.68
2023-11-19,18.68
2023-11-20,18.69
2023-11-21,18.69
2023-11-22,18.69
2023-11-23,18.69
2023-11-24,18.7
2023-11-25,18.7
2023-11-26,18.7
2023-11-27,18.71
2023-11-28,18.71
2023-11-29,18.71
2023-11-30,18.71
2023-12-01,18.71
2023-12-02,18.71
2023-12-03,18.71
2023-12-04,18.71
2023-12-05,18.71
2023-12-06,18.71
2023-12-07,18.71
2023-12-08,18.71
